# hx, hy, hz, mag, mag_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.950132052103677460e-02 1.266134821784864581e-04 -1.279992680384102357e+02 7.311979331900513284e-04
7.272727272727273762e-02 0.000000000000000000e+00 7.272727272727273762e-02 7.593592007954914902e-02 1.459964729788182369e-04 -1.283385393372007286e+02 8.324177521731099391e-04
1.454545454545454752e-01 0.000000000000000000e+00 1.454545454545454752e-01 9.494201342264810273e-02 1.943795426820932228e-04 -1.293687722916673692e+02 1.491517368926369201e-03
2.181818181818181712e-01 0.000000000000000000e+00 2.181818181818181712e-01 1.278856595357258930e-01 2.620358969464907481e-04 -1.311439007417158962e+02 1.967974769888150132e-03
2.909090909090909505e-01 0.000000000000000000e+00 2.909090909090909505e-01 1.733554999033609934e-01 3.212930085233664762e-04 -1.336427385444219453e+02 3.688090774248864012e-03
3.099999999999999978e-01 0.000000000000000000e+00 3.099999999999999978e-01 1.857848167419433594e-01 3.468065214699067654e-04 -1.344761213377889817e+02 3.663051667454265102e-03
3.200000000000000067e-01 0.000000000000000000e+00 3.200000000000000067e-01 1.944470405578613281e-01 3.746589557121202726e-04 -1.350121894694958087e+02 3.270508298076949504e-03
3.300000000000000155e-01 0.000000000000000000e+00 3.300000000000000155e-01 2.010345458984375000e-01 3.771440805634620900e-04 -1.355814058337410870e+02 2.889047582945211690e-03
3.400000000000000244e-01 0.000000000000000000e+00 3.400000000000000244e-01 2.085661888122558594e-01 3.692727323977012133e-04 -1.362432519242984199e+02 2.605951434015910898e-03
3.499999999999999778e-01 0.000000000000000000e+00 3.499999999999999778e-01 2.155846754709879465e-01 4.313272346093310525e-04 -1.369645606141262419e+02 2.178477516812855376e-03
3.599999999999999867e-01 0.000000000000000000e+00 3.599999999999999867e-01 2.232829729715982980e-01 4.104752748042932425e-04 -1.377379070313130853e+02 2.171948098802609691e-03
